Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,MP,Source
DFXQXFGFOLXAPO-UHFFFAOYSA-N,O=[N+]([O-])c1cc(ccc1Cl)C(=O)O,YKYONYBAUNKHLG-UHFFFAOYSA-N,O=C(OCCC)C,-0.585026652,0.26,201.56,150.784,-66.5,ONSC
ILUJQPXNXACGAN-UHFFFAOYSA-N,O=C(O)c1ccccc1OC,PGMYKACGEOXYJE-UHFFFAOYSA-N,O=C(OCCCCC)C,-0.585026652,0.26,152.15,135.92,-115,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,YIWUKEYIRIRTPP-UHFFFAOYSA-N,OCC(CC)CCCC,-0.583505584,0.260912218,173.17,150.872,55,ONSC
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-0.539311211,0.288860919,212.12,161.008,-76,ONSC
JZFPYUNJRRFVQU-UHFFFAOYSA-N,FC(F)(F)c1cc(ccc1)Nc2ncccc2C(=O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-0.547002912,0.28379,282.22,223.024,140,ONSC
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,YEYKMVJDLWJFOA-UHFFFAOYSA-N,OCCOCCC,-0.539190978,0.2889409,152.15,136.448,-43,ONSC
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(=O)C,-0.538361965,0.289492979,212.12,161.984,-76,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,PFNHSEQQEPMLNI-UHFFFAOYSA-N,OCC(C)CCC,-0.535359929,0.291501015,173.17,150.2,55,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,PHTQWCKDNZKARW-UHFFFAOYSA-N,OCCC(C)C,-0.535045779,0.291711951,173.17,150.024,55,ONSC
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,-0.539021331,0.289053791,212.12,162.08,-76,ONSC
JMMWKPVZQRWMSS-UHFFFAOYSA-N,O(C(C)C)C(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-0.55,0.281838293,102.13,107.816,34,ONSC
GKEUODMJRFDLJY-UHFFFAOYSA-N,CC1=C2CC3=CC=CC=C3C2=CC=C1,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.56,0.27542287,180.24,176.064,300,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,-0.559386026,0.275812518,173.17,150.32,55,ONSC
JLRGJRBPOGGCBT-UHFFFAOYSA-N,O=S(=O)(c1ccc(cc1)C)NC(=O)NCCCC,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-0.554331752,0.279041146,270.35,246.968,140,ONSC
DIWRORZWFLOCLC-UHFFFAOYSA-N,Clc3ccccc3C/2=N/C(O)C(=O)Nc1c\2cc(Cl)cc1,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,-0.550923664,0.281239512,321.2,251.72,213.5,ONSC
JWAZRIHNYRIHIV-UHFFFAOYSA-N,c1ccc2cc(ccc2c1)O,QARVLSVVCXYDNA-UHFFFAOYSA-N,c1ccc(cc1)Br,-0.578975843,0.263647803,144.17,134.912,173.5,ONSC
ZRIHAIZYIMGOAB-UHFFFAOYSA-N,O=C1NC(=O)NC(=O)C1(C(C)CC)CC,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-0.402557129,0.39577,212.25,200.168,110.5,ONSC
ZFLIKDUSUDBGCD-UHFFFAOYSA-N,N1C(=O)NC(=O)C1=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-0.4,0.398107171,114.06,86.44,-90,ONSC
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,-0.399027104,0.399,179.22,173.648,129,ONSC
SQNZJJAZBFDUTD-UHFFFAOYSA-N,c1c(c(cc(c1C)C)C)C,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-0.398740555,0.399263348,134.22,148.696,154,ONSC
ARCGXLSVLAOJQL-UHFFFAOYSA-N,c1(c(ccc(c1)C(=O)O)C(=O)O)C(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-0.397,0.400866718,210.14,166.64,88,ONSC
GJCOSYZMQJWQCA-UHFFFAOYSA-N,c1ccc2c(c1)Cc3ccccc3O2,POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,-0.399647574,0.398430362,182.22,167.472,300,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,JYVLIDXNZAXMDK-UHFFFAOYSA-N,OC(C)CCC,-0.404532348,0.393974082,180.16,156.312,287,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,BBMCTIGTTCKYKF-UHFFFAOYSA-N,OCCCCCCC,-0.418281625,0.381696673,173.17,150.184,55,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,-0.417820746,0.38210195,173.17,150.456,55,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-0.412425503,0.386878412,173.17,150.632,55,ONSC
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-0.41,0.389045145,93.13,95.112,93,ONSC
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,O1CCOCC1,-0.408935393,0.39,152.15,136.816,-43,ONSC
GJCOSYZMQJWQCA-UHFFFAOYSA-N,O2c1ccccc1Cc3c2cccc3,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,-0.408935393,0.39,182.22,167.592,300,ONSC
ILUJQPXNXACGAN-UHFFFAOYSA-N,O=C(O)c1ccccc1OC,QPRQEDXDYOZYLA-UHFFFAOYSA-N,OCC(C)CC,-0.408935393,0.39,152.15,136.328,-115,ONSC
